representacion,clasificador,carga_train,carga_test,distancia_carga,fold,n_train,n_test,exactitud,f1_macro,f1_Normal,f1_IR,f1_B,f1_OR,segundos_ajuste,segundos_prediccion,en_comparacion
estadisticos_rmsnorm,RandomForest,0,1,1,1,1006,296,0.793918918918919,0.7853982467913765,0.9371428571428572,0.7115384615384616,0.7142857142857143,0.7786259541984732,1.2595442000310868,0.16442499996628612,False
estadisticos_rmsnorm,RandomForest,0,1,1,2,1006,295,0.7457627118644068,0.7335919540229885,0.9310344827586207,0.6666666666666666,0.67,0.6666666666666666,1.2128670999663882,0.15308840002398938,False
estadisticos_rmsnorm,RandomForest,0,1,1,3,1006,296,0.7837837837837838,0.7744505813254834,0.9608938547486033,0.7289719626168224,0.6777777777777778,0.7301587301587301,1.2124976000050083,0.15079089999198914,False
estadisticos_rmsnorm,RandomForest,0,1,1,4,1011,291,0.845360824742268,0.8373307513067574,0.9666666666666667,0.8,0.7468354430379747,0.835820895522388,1.2584075999911875,0.20966649998445064,False
estadisticos_rmsnorm,RandomForest,0,2,2,0,991,311,0.7266881028938906,0.7119585449730842,0.9017341040462428,0.5742574257425742,0.6761904761904762,0.6956521739130435,1.209250800020527,0.1528363999677822,False
estadisticos_rmsnorm,RandomForest,0,2,2,1,1006,295,0.7423728813559322,0.728875290962937,0.9310344827586207,0.6262626262626263,0.6559139784946236,0.7022900763358778,1.2500180000206456,0.15373550000367686,False
estadisticos_rmsnorm,RandomForest,0,2,2,2,1006,297,0.7508417508417509,0.7278057049333645,0.967032967032967,0.5319148936170213,0.6276595744680851,0.7846153846153846,1.226466000021901,0.17408669996075332,False
estadisticos_rmsnorm,RandomForest,0,2,2,3,1006,295,0.7864406779661017,0.7708087081359308,0.9836065573770492,0.6728971962616822,0.6296296296296297,0.7971014492753623,1.2635356000391766,0.15151350002270192,False
estadisticos_rmsnorm,RandomForest,0,2,2,4,1011,291,0.8006872852233677,0.7934267121767122,0.9431818181818182,0.7777777777777778,0.7142857142857143,0.7384615384615385,1.2704346000100486,0.2533161999890581,False
estadisticos_rmsnorm,RandomForest,0,3,3,0,991,311,0.7363344051446945,0.7152727879327709,0.9560439560439561,0.4948453608247423,0.6422018348623854,0.768,1.5449276000144891,0.1884476999985054,False
estadisticos_rmsnorm,RandomForest,0,3,3,1,1006,299,0.6789297658862876,0.6594775327725999,0.8674698795180723,0.45454545454545453,0.6037735849056604,0.7121212121212122,1.3715630999649875,0.20089520001783967,False
estadisticos_rmsnorm,RandomForest,0,3,3,2,1006,294,0.6938775510204082,0.6624589835820228,0.9666666666666667,0.449438202247191,0.5841584158415841,0.6495726495726496,1.4237346000154503,0.28120480000507087,False
estadisticos_rmsnorm,RandomForest,0,3,3,3,1006,299,0.6889632107023411,0.669991008137924,0.8941176470588236,0.4946236559139785,0.5925925925925926,0.6986301369863014,1.7422536999802105,0.1668492000317201,False
estadisticos_rmsnorm,RandomForest,0,3,3,4,1011,291,0.6701030927835051,0.6541455668088131,0.8928571428571429,0.5,0.5520833333333334,0.6716417910447762,1.3564587000291795,0.15344919997733086,False
estadisticos_rmsnorm,RandomForest,1,0,1,0,1178,264,0.4015151515151515,0.3758985200845666,0.5581395348837209,0.0,0.4,0.5454545454545454,1.2600682000047527,0.29874739999650046,False
estadisticos_rmsnorm,RandomForest,1,0,1,1,1193,249,0.3413654618473896,0.30537883169462116,0.5054945054945055,0.0,0.21052631578947367,0.5054945054945055,1.3452910000341944,0.1511389000224881,False
estadisticos_rmsnorm,RandomForest,1,0,1,2,1194,249,0.37751004016064255,0.3486486275532505,0.5108695652173914,0.043478260869565216,0.3458646616541353,0.4943820224719101,1.291231199982576,0.15744410001207143,False
estadisticos_rmsnorm,RandomForest,1,0,1,3,1193,249,0.46586345381526106,0.4579048088663473,0.5443786982248521,0.4603174603174603,0.32142857142857145,0.5054945054945055,1.3270155999925919,0.15880420000758022,False
estadisticos_rmsnorm,RandomForest,1,0,1,4,1198,244,0.5040983606557377,0.49735603902270564,0.5679012345679012,0.37606837606837606,0.5454545454545454,0.5,1.440473499998916,0.1767911000060849,False
estadisticos_rmsnorm,RandomForest,1,2,1,0,1178,311,0.8617363344051447,0.8519807530598897,1.0,0.9640287769784173,0.6906474820143885,0.7532467532467533,1.2981115999864414,0.21392350003588945,False
estadisticos_rmsnorm,RandomForest,1,2,1,1,1193,295,0.8949152542372881,0.8813405435191568,1.0,0.9558823529411765,0.7350427350427351,0.8344370860927153,1.3996969999861903,0.16315949999261647,False
estadisticos_rmsnorm,RandomForest,1,2,1,2,1194,297,0.8922558922558923,0.8810768520084842,1.0,0.9850746268656716,0.7419354838709677,0.7972972972972973,1.4288762000505812,0.1973776000086218,False
estadisticos_rmsnorm,RandomForest,1,2,1,3,1193,295,0.9593220338983051,0.9551078551078551,1.0,0.9925925925925926,0.9047619047619048,0.9230769230769231,1.3038793000159785,0.1670735999941826,False
estadisticos_rmsnorm,RandomForest,1,2,1,4,1198,291,0.9725085910652921,0.9695786800264412,1.0,0.9850746268656716,0.9393939393939394,0.9538461538461539,1.3017256999737583,0.1573375000152737,False
estadisticos_rmsnorm,RandomForest,1,3,2,0,1178,311,0.8842443729903537,0.8775735294117647,1.0,0.9411764705882353,0.775,0.7941176470588235,1.35646340000676,0.19935949996579438,False
estadisticos_rmsnorm,RandomForest,1,3,2,1,1193,299,0.8561872909698997,0.8463993443611887,1.0,0.8661417322834646,0.7225806451612903,0.796875,1.3529484000173397,0.24254710000241175,False
estadisticos_rmsnorm,RandomForest,1,3,2,2,1194,294,0.8741496598639455,0.8598758476786645,1.0,0.9295774647887324,0.725925925925926,0.784,1.3152327999705449,0.24433249997673556,False
estadisticos_rmsnorm,RandomForest,1,3,2,3,1193,299,0.8695652173913043,0.8576373980249034,1.0,0.9852941176470589,0.7153284671532847,0.7299270072992701,1.5707198000163771,0.1945727000129409,False
estadisticos_rmsnorm,RandomForest,1,3,2,4,1198,291,0.8178694158075601,0.8016264034379005,1.0,0.96875,0.5954198473282443,0.6423357664233577,1.3695454000262544,0.1419330000062473,False
estadisticos_rmsnorm,RandomForest,2,0,2,0,1178,264,0.4015151515151515,0.3829703927032333,0.5748502994011976,0.037383177570093455,0.3741935483870968,0.5454545454545454,1.2244214999955148,0.16197210003156215,False
estadisticos_rmsnorm,RandomForest,2,0,2,1,1194,249,0.44176706827309237,0.4228562545126013,0.6013071895424836,0.13725490196078433,0.4473684210526316,0.5054945054945055,1.2380559999728575,0.17066830000840127,False
estadisticos_rmsnorm,RandomForest,2,0,2,2,1192,249,0.46184738955823296,0.41838250873831395,0.5802469135802469,0.02197802197802198,0.5769230769230769,0.4943820224719101,1.2167251000064425,0.27510499994968995,False
estadisticos_rmsnorm,RandomForest,2,0,2,3,1194,249,0.5220883534136547,0.5120624128388404,0.5859872611464968,0.3448275862068966,0.6119402985074627,0.5054945054945055,1.2081909999833442,0.1496929000131786,False
estadisticos_rmsnorm,RandomForest,2,0,2,4,1198,244,0.5204918032786885,0.5139614877389066,0.5822784810126582,0.37606837606837606,0.5806451612903226,0.5168539325842697,1.3990239999839105,0.21270410000579432,False
estadisticos_rmsnorm,RandomForest,2,1,1,0,1178,311,0.9389067524115756,0.9330496456762007,1.0,0.9536423841059603,0.8979591836734694,0.8805970149253731,1.2680973000242375,0.14366880001034588,False
estadisticos_rmsnorm,RandomForest,2,1,1,1,1194,296,0.9594594594594594,0.9558728098637248,1.0,1.0,0.9130434782608695,0.9104477611940298,1.248342299950309,0.18499760003760457,False
estadisticos_rmsnorm,RandomForest,2,1,1,2,1192,295,0.9288135593220339,0.9212719288579265,0.9945945945945946,0.9577464788732394,0.8823529411764706,0.8503937007874016,1.2909600000130013,0.14658989995950833,False
estadisticos_rmsnorm,RandomForest,2,1,1,3,1194,296,0.9121621621621622,0.9031215161649944,1.0,0.9710144927536232,0.8153846153846154,0.8260869565217391,1.231754100008402,0.14753570000175387,False
estadisticos_rmsnorm,RandomForest,2,1,1,4,1198,291,0.9037800687285223,0.8907737366664824,1.0,0.9635036496350365,0.7627118644067796,0.8368794326241135,1.229893199983053,0.22047709999606013,False
estadisticos_rmsnorm,RandomForest,2,3,1,0,1178,311,0.9228295819935691,0.9165217391304348,1.0,1.0,0.84,0.8260869565217391,1.302088999946136,0.14823300001444295,False
