representacion,clasificador,carga_train,carga_test,distancia_carga,fold,n_train,n_test,exactitud,f1_macro,f1_Normal,f1_IR,f1_B,f1_OR,segundos_ajuste,segundos_prediccion,en_comparacion
wavelet,MLP,3,3,0,4,1203,291,0.9896907216494846,0.9886304909560724,1.0,0.9767441860465116,1.0,0.9777777777777776,2.0181604000390507,0.0010620999964885,True
espectrograma,SVM-RBF,0,0,0,0,991,264,0.9962121212121212,0.9965276103207136,1.0,0.993006993006993,1.0,0.993103448275862,0.1485367999994196,0.0742858999874442,True
espectrograma,SVM-RBF,0,0,0,1,1006,249,1.0,1.0,1.0,1.0,1.0,1.0,0.1407638000091537,0.0725462000118568,True
espectrograma,SVM-RBF,0,0,0,2,1006,249,0.9959839357429718,0.996268448900028,1.0,1.0,0.9924812030075189,0.9925925925925926,0.1773304999805987,0.0626821999903768,True
espectrograma,SVM-RBF,0,0,0,3,1006,249,1.0,1.0,1.0,1.0,1.0,1.0,0.1437769000185653,0.0731167999911122,True
espectrograma,SVM-RBF,0,0,0,4,1011,244,1.0,1.0,1.0,1.0,1.0,1.0,0.1344423999544233,0.0646128000225871,True
espectrograma,SVM-RBF,0,1,1,0,991,311,0.8713826366559485,0.8607954545454546,1.0,0.75,0.875,0.8181818181818182,0.1321524000377394,0.0788262999849394,True
espectrograma,SVM-RBF,0,1,1,1,1006,296,0.9155405405405406,0.906824108020954,1.0,0.8035714285714286,0.9770992366412212,0.8466257668711656,0.1333151000435464,0.0823554000235162,True
espectrograma,SVM-RBF,0,1,1,2,1006,295,0.911864406779661,0.9023367059970976,1.0,0.7964601769911505,0.9774436090225564,0.8354430379746836,0.1429951000027358,0.0849732999922707,True
espectrograma,SVM-RBF,0,1,1,3,1006,296,0.8986486486486487,0.8898313253012049,1.0,0.8,0.928,0.8313253012048193,0.1467293999739922,0.0821511999820359,True
espectrograma,SVM-RBF,0,1,1,4,1011,291,0.8831615120274914,0.8733156144176373,1.0,0.7889908256880734,0.9090909090909092,0.7951807228915663,0.1448199999867938,0.0828053000150248,True
espectrograma,SVM-RBF,0,2,2,0,991,311,0.9163987138263664,0.9105725600198004,1.0,0.8387096774193549,0.9565217391304348,0.8470588235294118,0.1399406000273302,0.0868031999561935,True
espectrograma,SVM-RBF,0,2,2,1,1006,295,0.9254237288135592,0.9171525973372008,1.0,0.8245614035087719,0.9850746268656716,0.8589743589743589,0.1450999000226147,0.0819706000038422,True
espectrograma,SVM-RBF,0,2,2,2,1006,297,0.9292929292929292,0.9215773620301576,1.0,0.8275862068965517,0.9924812030075189,0.8662420382165605,0.1479624999919906,0.0879261000081896,True
espectrograma,SVM-RBF,0,2,2,3,1006,295,0.9457627118644067,0.9404353233830848,1.0,0.8833333333333333,0.9850746268656716,0.8933333333333333,0.135132200026419,0.0877410999964922,True
espectrograma,SVM-RBF,0,2,2,4,1011,291,0.9175257731958762,0.9084272107527922,1.0,0.8108108108108109,0.9767441860465116,0.8461538461538461,0.1572185000404715,0.0797835999983362,True
espectrograma,SVM-RBF,0,3,3,0,991,311,0.9163987138263664,0.9051602124268474,1.0,0.7933884297520661,0.8860759493670886,0.9411764705882352,0.140744199976325,0.0972041999921202,True
espectrograma,SVM-RBF,0,3,3,1,1006,299,0.9297658862876256,0.9188371154130576,1.0,0.8173913043478261,0.912751677852349,0.9452054794520548,0.1538029000512324,0.0913928000372834,True
espectrograma,SVM-RBF,0,3,3,2,1006,294,0.9149659863945578,0.9047703830989388,1.0,0.7863247863247863,0.847682119205298,0.9850746268656716,0.1392320999875664,0.0945480000227689,True
espectrograma,SVM-RBF,0,3,3,3,1006,299,0.9230769230769232,0.9122133185962972,1.0,0.8,0.8701298701298701,0.9787234042553192,0.1505055999732576,0.0946486000320874,True
espectrograma,SVM-RBF,0,3,3,4,1011,291,0.9278350515463918,0.918326790427396,1.0,0.8141592920353983,0.8666666666666667,0.9924812030075189,0.1462499999906867,0.084965199988801,True
espectrograma,SVM-RBF,1,0,1,0,1178,264,1.0,1.0,1.0,1.0,1.0,1.0,0.1633440000005066,0.07218020001892,True
espectrograma,SVM-RBF,1,0,1,1,1193,249,1.0,1.0,1.0,1.0,1.0,1.0,0.1780422999872826,0.0858752999920398,True
espectrograma,SVM-RBF,1,0,1,2,1194,249,1.0,1.0,1.0,1.0,1.0,1.0,0.1671409000409767,0.0762622999609448,True
espectrograma,SVM-RBF,1,0,1,3,1193,249,0.9799196787148594,0.981560344076163,1.0,0.9852941176470588,0.9774436090225564,0.9635036496350364,0.1644117000396363,0.0770829999819397,True
espectrograma,SVM-RBF,1,0,1,4,1198,244,1.0,1.0,1.0,1.0,1.0,1.0,0.2058672999846749,0.0703470000298693,True
espectrograma,SVM-RBF,1,1,0,0,1178,311,1.0,1.0,1.0,1.0,1.0,1.0,0.1613808000111021,0.0914113000035286,True
espectrograma,SVM-RBF,1,1,0,1,1193,296,1.0,1.0,1.0,1.0,1.0,1.0,0.1689141999813728,0.0882009000051766,True
espectrograma,SVM-RBF,1,1,0,2,1194,295,0.9966101694915256,0.9962684489000276,1.0,1.0,0.9925925925925926,0.9924812030075189,0.1818531000171788,0.0882102000177837,True
espectrograma,SVM-RBF,1,1,0,3,1193,296,1.0,1.0,1.0,1.0,1.0,1.0,0.191832099983003,0.0869727000244893,True
espectrograma,SVM-RBF,1,1,0,4,1198,291,1.0,1.0,1.0,1.0,1.0,1.0,0.1813773000030778,0.0882009999477304,True
espectrograma,SVM-RBF,1,2,1,0,1178,311,0.990353697749196,0.9896285806748584,1.0,0.993006993006993,0.9859154929577464,0.979591836734694,0.1717843000078573,0.0887727999943308,True
espectrograma,SVM-RBF,1,2,1,1,1193,295,1.0,1.0,1.0,1.0,1.0,1.0,0.1674218999687582,0.0899849000270478,True
espectrograma,SVM-RBF,1,2,1,2,1194,297,1.0,1.0,1.0,1.0,1.0,1.0,0.1827694000094197,0.0981672999914735,True
espectrograma,SVM-RBF,1,2,1,3,1193,295,1.0,1.0,1.0,1.0,1.0,1.0,0.1907382000354118,0.08968759997515,True
espectrograma,SVM-RBF,1,2,1,4,1198,291,1.0,1.0,1.0,1.0,1.0,1.0,0.1691073999973014,0.0809654000331647,True
espectrograma,SVM-RBF,1,3,2,0,1178,311,0.9807073954983924,0.9790112596762844,1.0,0.9571428571428572,0.9793103448275862,0.979591836734694,0.1649954000022262,0.0857205999782309,True
espectrograma,SVM-RBF,1,3,2,1,1193,299,0.9866220735785952,0.9853652827312336,1.0,0.9774436090225564,0.9852941176470588,0.9787234042553192,0.1730809999862685,0.0938973000156693,True
espectrograma,SVM-RBF,1,3,2,2,1194,294,0.9829931972789115,0.9813702997127975,1.0,0.9629629629629628,0.9850746268656716,0.9774436090225564,0.1658158999634906,0.0899445000104606,True
espectrograma,SVM-RBF,1,3,2,3,1193,299,0.9866220735785952,0.9853944562899788,1.0,0.9701492537313432,1.0,0.9714285714285714,0.1697001999709755,0.0969855000148527,True
espectrograma,SVM-RBF,1,3,2,4,1198,291,0.9896907216494846,0.9885750039799256,1.0,0.9767441860465116,0.9924812030075189,0.9850746268656716,0.1715724999667145,0.08675509999739,True
espectrograma,SVM-RBF,2,0,2,0,1178,264,0.9545454545454546,0.9584528976770356,1.0,0.9166666666666666,0.9241379310344828,0.993006993006993,0.1654350000317208,0.082938700041268,True
espectrograma,SVM-RBF,2,0,2,1,1194,249,0.9759036144578314,0.977859477124183,1.0,0.9558823529411764,0.9629629629629628,0.9925925925925926,0.1688679999788291,0.0696119000203907,True
espectrograma,SVM-RBF,2,0,2,2,1192,249,0.9879518072289156,0.9887997689026564,1.0,0.9855072463768116,0.9770992366412212,0.9925925925925926,0.1659160000272095,0.0697291999822482,True
